product,status,rows_before,rows_after,same_grid,temperature_blank,temperature_withheld,Temperature (degC)_changed,Luminosity (lux)_changed,Flag_T_changed,Flag_lux_changed,max_temperature_change_degC
PLES_2021S1_HOBO_2_QLF.csv,compared,5665,5665,True,0,0,0,0,0,0,0.0
PLES_2021S2_HOBO_QLF.csv,compared,1168,1168,True,115,113,113,0,0,0,0.0
PLES_2022S1_HOBO_QLF.csv,compared,2501,2501,True,0,0,0,0,0,0,0.0
PLES_2022S2_HOBO_QLF.csv,compared,2290,2290,True,0,0,0,0,0,0,0.0
PLES_2023S1_HOBO_QLF.csv,compared,2350,2350,True,0,0,0,0,0,0,0.0
PLES_2023S2_HOBO_QLF.csv,compared,2354,2354,True,0,0,0,0,0,0,0.0
PLES_2024S1_HOBO_TEMP_ONLY_QLF.csv,compared,3938,3938,True,0,0,0,0,0,0,0.0
PLES_2024S2_HOBO_1_QLF.csv,compared,1121,1121,True,0,0,0,0,0,0,0.0
PLES_2024S2_HOBO_2_QLF.csv,compared,1968,1968,True,0,0,0,0,0,0,0.0
PLES_2025S1_HOBO_QLF.csv,compared,2309,2309,True,1880,1880,1880,0,0,0,0.0
PLES_2025S2_HOBO_QLF.csv,compared,2208,2208,True,0,0,0,0,0,0,0.0
PLES_2026S1_HOBO_1_QLF.csv,compared,1902,1902,True,0,0,0,0,0,0,0.0
PLES_2026S1_HOBO_2_QLF.csv,compared,2127,2127,True,0,0,0,0,0,0,0.0
PNOR_2019S1_HOBO_QLF.csv,compared,4776,4776,True,0,0,0,0,0,0,0.0
PNOR_2020S1_HOBO_QLF.csv,compared,2241,2241,True,0,0,0,0,0,0,0.0
PNOR_2021S2_HOBO_QLF.csv,compared,1261,1261,True,0,0,0,0,0,0,0.0
PNOR_2022S1_HOBO_1_QLF.csv,compared,2586,2586,True,0,0,0,0,0,0,0.0
PNOR_2022S1_HOBO_2_QLF.csv,compared,455,455,True,0,0,0,0,0,0,0.0
PNOR_2022S2_HOBO_QLF.csv,compared,2133,2133,True,0,0,0,0,0,0,0.0
PNOR_2023S1_HOBO_QLF.csv,compared,2452,2452,True,0,0,0,0,0,0,0.0
