product,start,end,paired_samples,duration_hours,max_spread_degC,sustained
ESQNORTE_2025S2_HOBO_QLF,2025-08-02 01:10:24,2025-08-02 01:10:24,1,0.0,0.5790000000000006,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-02 05:10:24,2025-08-02 09:10:24,3,4.0,0.5789999999999971,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-02 13:10:24,2025-08-02 13:10:24,1,0.0,0.5789999999999971,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-02 17:10:24,2025-08-02 17:10:24,1,0.0,0.5789999999999971,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-02 21:10:24,2025-08-03 03:10:24,4,6.0,0.5790000000000006,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-03 07:10:24,2025-08-03 11:10:24,3,4.0,0.5790000000000006,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-03 15:10:24,2025-08-03 17:10:24,2,2.0,0.5789999999999971,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-03 21:10:24,2025-08-04 03:10:24,4,6.0,0.5790000000000006,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-04 09:10:24,2025-08-05 07:10:24,12,22.0,0.5789999999999971,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-05 11:10:24,2025-08-07 01:10:24,20,38.0,0.5799999999999983,True
ESQNORTE_2025S2_HOBO_QLF,2025-08-07 05:10:24,2025-08-07 21:10:24,9,16.0,0.5790000000000006,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-08 01:10:24,2025-08-08 05:10:24,3,4.0,0.5789999999999971,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-08 09:10:24,2025-08-08 11:10:24,2,2.0,0.5789999999999971,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-08 17:10:24,2025-08-08 17:10:24,1,0.0,0.5799999999999983,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-08 23:10:24,2025-08-09 13:10:24,8,14.0,0.5799999999999983,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-09 17:10:24,2025-08-09 21:10:24,3,4.0,0.5799999999999983,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-10 01:10:24,2025-08-10 01:10:24,1,0.0,0.5789999999999971,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-10 05:10:24,2025-08-10 05:10:24,1,0.0,0.5789999999999971,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-10 09:10:24,2025-08-10 23:10:24,8,14.0,0.5799999999999983,False
ESQNORTE_2025S2_HOBO_QLF,2025-08-11 03:10:24,2025-08-11 15:10:24,7,12.0,0.5790000000000006,False
