product,rows,changed_temperature,temperature_missing,temperature_withheld
TIM2_2025S1_HOBO_QLF.csv,2355,191,192,191
ESQNORTE_2025S2_HOBO_QLF.csv,2127,296,347,296
ESQRODO_2025S2_HOBO_QLF.csv,2149,0,0,0
PAB3_2025S2_HOBO_QLF.csv,2157,1517,1517,1517
PLES_2025S2_HOBO_QLF.csv,2208,0,0,0
PNOR_2025S2_HOBO_QLF.csv,2167,329,329,329
SGOM_2025S2_HOBO_QLF.csv,1461,0,0,0
TIM2_2025S2_HOBO_QLF.csv,2146,1344,1344,1344
ESQNORTE_2026S1_HOBO_QLF.csv,2168,0,0,0
ESQRODO_2026S1_HOBO_QLF.csv,2172,0,83,0
ESQSUL_2026S1_HOBO_QLF.csv,4285,0,0,0
PAB3_2026S1_HOBO_QLF.csv,4269,0,24,0
PLES_2026S1_HOBO_1_QLF.csv,1902,0,0,0
PLES_2026S1_HOBO_2_QLF.csv,2127,0,0,0
PNOR_2026S1_HOBO_QLF.csv,4236,1819,1819,1819
SGOM_2026S1_HOBO_QLF.csv,2254,0,0,0
TIM2_2026S1_HOBO_QLF.csv,4358,0,0,0
